Test Time / h,Current / A,Voltage / V,Protocol Name / 1,Step Type / 1,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Maximum Cell Temperature / degC,External Temperature / degC
87.24444444,0,3.468139754,A with temperature: 35,rest,4,1,0,0,35.03484479,35
87.26111111,0,3.468038529,A with temperature: 35,rest,4,1,0,0,35.02599057,35
87.27777778,0,3.467968528,A with temperature: 35,rest,4,1,0,0,35.01938588,35
87.29444444,0,3.46791951,A with temperature: 35,rest,4,1,0,0,35.01445936,35
87.31111111,0,3.46788477,A with temperature: 35,rest,4,1,0,0,35.01078471,35
87.32777778,0,3.467859857,A with temperature: 35,rest,4,1,0,0,35.00804385,35
87.34444444,0,3.467841777,A with temperature: 35,rest,4,1,0,0,35.0059995,35
87.36111111,0,3.4678285,A with temperature: 35,rest,4,1,0,0,35.00447468,35
87.37777778,0.06055158,3.357770005,A with temperature: 35,discharge,4,2,0,0,35.05447899,35
87.39444444,0.06055158,3.339309909,A with temperature: 35,discharge,4,2,0,0.001009193,35.07614627,35
87.41111111,0.06055158,3.331973869,A with temperature: 35,discharge,4,2,0,0.002018386,35.08288279,35
87.42777778,0.06055158,3.324726553,A with temperature: 35,discharge,4,2,0,0.003027579,35.08315961,35
87.44444444,0.06055158,3.317896952,A with temperature: 35,discharge,4,2,0,0.004036772,35.0845117,35
87.46111111,0.06055158,3.311984311,A with temperature: 35,discharge,4,2,0,0.005045965,35.09012746,35
87.47777778,0.06055158,3.306658561,A with temperature: 35,discharge,4,2,0,0.006055158,35.09913935,35
87.49444444,0.06055158,3.301543896,A with temperature: 35,discharge,4,2,0,0.007064351,35.11042419,35
87.51111111,0.06055158,3.296591883,A with temperature: 35,discharge,4,2,0,0.008073544,35.12319659,35
87.52777778,0.06055158,3.291771386,A with temperature: 35,discharge,4,2,0,0.009082737,35.13691186,35
87.54444444,0.06055158,3.287059771,A with temperature: 35,discharge,4,2,0,0.01009193,35.15119335,35
87.56111111,0.06055158,3.282316224,A with temperature: 35,discharge,4,2,0,0.011101123,35.1657838,35
87.57777778,0.06055158,3.277530417,A with temperature: 35,discharge,4,2,0,0.012110316,35.18009747,35
87.59444444,0.06055158,3.276048483,A with temperature: 35,discharge,4,2,0,0.013119509,35.19064866,35
