Test Time / h,Current / A,Voltage / V,Protocol Name / 1,Step Type / 1,Cycle Count / 1,Step Index / 1,Charge Capacity / Ah,Discharge Capacity / Ah,Maximum Cell Temperature / degC,External Temperature / degC
75.86111111,0,3.451179873,A with temperature: 15,rest,2,1,0,0,15.03573142,15
75.87777778,0,3.450994967,A with temperature: 15,rest,2,1,0,0,15.02665886,15
75.89444444,0,3.45086183,A with temperature: 15,rest,2,1,0,0,15.01988829,15
75.91111111,0,3.450764454,A with temperature: 15,rest,2,1,0,0,15.01483631,15
75.92777778,0,3.450692328,A with temperature: 15,rest,2,1,0,0,15.01106708,15
75.94444444,0,3.450638358,A with temperature: 15,rest,2,1,0,0,15.00825511,15
75.96111111,0,3.450597636,A with temperature: 15,rest,2,1,0,0,15.00615741,15
75.97777778,0,3.450566697,A with temperature: 15,rest,2,1,0,0,15.00459261,15
75.99444444,0.06055158,3.336341193,A with temperature: 15,discharge,2,2,0,0,15.03836658,15
76.01111111,0.06055158,3.325201231,A with temperature: 15,discharge,2,2,0,0.001009193,15.05693512,15
76.02777778,0.06055158,3.31727106,A with temperature: 15,discharge,2,2,0,0.002018386,15.06829481,15
76.04444444,0.06055158,3.31067618,A with temperature: 15,discharge,2,2,0,0.003027579,15.08043744,15
76.06111111,0.06055158,3.305151825,A with temperature: 15,discharge,2,2,0,0.004036772,15.09429827,15
76.07777778,0.06055158,3.300073457,A with temperature: 15,discharge,2,2,0,0.005045965,15.10915381,15
76.09444444,0.06055158,3.295210187,A with temperature: 15,discharge,2,2,0,0.006055158,15.12444845,15
76.11111111,0.06055158,3.290503074,A with temperature: 15,discharge,2,2,0,0.007064351,15.13988742,15
76.12777778,0.06055158,3.285916279,A with temperature: 15,discharge,2,2,0,0.008073544,15.15529286,15
76.14444444,0.06055158,3.281408033,A with temperature: 15,discharge,2,2,0,0.009082737,15.17056005,15
76.16111111,0.06055158,3.276832743,A with temperature: 15,discharge,2,2,0,0.01009193,15.18563123,15
76.17777778,0.06055158,3.273438929,A with temperature: 15,discharge,2,2,0,0.011101123,15.19861385,15
76.19444444,0.06055158,3.271969643,A with temperature: 15,discharge,2,2,0,0.012110316,15.20816773,15
76.21111111,0.06055158,3.270515084,A with temperature: 15,discharge,2,2,0,0.013119509,15.2151439,15
76.22777778,0.06055158,3.269071832,A with temperature: 15,discharge,2,2,0,0.014128702,15.22018811,15
76.24444444,0.06055158,3.267637481,A with temperature: 15,discharge,2,2,0,0.015137895,15.22378896,15
76.26111111,0.06055158,3.266210094,A with temperature: 15,discharge,2,2,0,0.016147088,15.22630685,15
76.27777778,0.06055158,3.264788183,A with temperature: 15,discharge,2,2,0,0.017156281,15.22801326,15
76.29444444,0.06055158,3.263370526,A with temperature: 15,discharge,2,2,0,0.018165474,15.22911275,15
76.31111111,0.06055158,3.261956114,A with temperature: 15,discharge,2,2,0,0.019174667,15.22975958,15
76.32777778,0.06055158,3.260790054,A with temperature: 15,discharge,2,2,0,0.02018386,15.22991015,15
76.34444444,0.06055158,3.259836437,A with temperature: 15,discharge,2,2,0,0.021193053,15.22966001,15
76.36111111,0.06055158,3.258964806,A with temperature: 15,discharge,2,2,0,0.022202246,15.22897821,15
76.37777778,0.06055158,3.258103057,A with temperature: 15,discharge,2,2,0,0.023211439,15.22798874,15
76.39444444,0.06055158,3.257250065,A with temperature: 15,discharge,2,2,0,0.024220632,15.22678412,15
76.41111111,0.06055158,3.256404851,A with temperature: 15,discharge,2,2,0,0.025229825,15.22543317,15
76.42777778,0.06055158,3.255566571,A with temperature: 15,discharge,2,2,0,0.026239018,15.22398711,15
76.44444444,0.06055158,3.25478771,A with temperature: 15,discharge,2,2,0,0.027248211,15.22304157,15
76.46111111,0.06055158,3.254024513,A with temperature: 15,discharge,2,2,0,0.028257404,15.22247681,15
76.47777778,0.06055158,3.253293023,A with temperature: 15,discharge,2,2,0,0.029266597,15.22238526,15
76.49444444,0.06055158,3.252580361,A with temperature: 15,discharge,2,2,0,0.03027579,15.22267742,15
76.51111111,0.06055158,3.251887965,A with temperature: 15,discharge,2,2,0,0.031284983,15.22325739,15
76.52777778,0.06055158,3.251274478,A with temperature: 15,discharge,2,2,0,0.032294176,15.22410064,15
76.54444444,0.06055158,3.250892336,A with temperature: 15,discharge,2,2,0,0.033303369,15.22515081,15
76.56111111,0.06055158,3.250545933,A with temperature: 15,discharge,2,2,0,0.034312562,15.22636852,15
76.57777778,0.06055158,3.250196777,A with temperature: 15,discharge,2,2,0,0.035321755,15.22771811,15
76.59444444,0.06055158,3.249843716,A with temperature: 15,discharge,2,2,0,0.036330948,15.22913363,15
76.61111111,0.06055158,3.249462185,A with temperature: 15,discharge,2,2,0,0.037340141,15.22977654,15
76.62777778,0.06055158,3.249051461,A with temperature: 15,discharge,2,2,0,0.038349334,15.22897989,15
76.64444444,0.06055158,3.248630943,A with temperature: 15,discharge,2,2,0,0.039358527,15.2269075,15
76.66111111,0.06055158,3.248192759,A with temperature: 15,discharge,2,2,0,0.04036772,15.22343671,15
76.67777778,0.06055158,3.247751761,A with temperature: 15,discharge,2,2,0,0.041376913,15.21892736,15
76.69444444,0.06055158,3.247308018,A with temperature: 15,discharge,2,2,0,0.042386106,15.21364718,15
76.71111111,0.06055158,3.24687512,A with temperature: 15,discharge,2,2,0,0.043395299,15.20786463,15
76.72777778,0.06055158,3.246507349,A with temperature: 15,discharge,2,2,0,0.044404492,15.20220046,15
76.74444444,0.06055158,3.246226964,A with temperature: 15,discharge,2,2,0,0.045413685,15.19729743,15
76.76111111,0.06055158,3.245958676,A with temperature: 15,discharge,2,2,0,0.046422878,15.19309894,15
76.77777778,0.06055158,3.245688058,A with temperature: 15,discharge,2,2,0,0.047432071,15.18942805,15
76.79444444,0.06055158,3.245415085,A with temperature: 15,discharge,2,2,0,0.048441264,15.18615342,15
76.81111111,0.06055158,3.245139731,A with temperature: 15,discharge,2,2,0,0.049450457,15.1831774,15
76.82777778,0.06055158,3.244861972,A with temperature: 15,discharge,2,2,0,0.05045965,15.18042718,15
76.84444444,0.06055158,3.244581786,A with temperature: 15,discharge,2,2,0,0.051468843,15.1778485,15
76.86111111,0.06055158,3.244299152,A with temperature: 15,discharge,2,2,0,0.052478036,15.17540088,15
76.87777778,0.06055158,3.244014048,A with temperature: 15,discharge,2,2,0,0.053487229,15.17305414,15
76.89444444,0.06055158,3.24372507,A with temperature: 15,discharge,2,2,0,0.054496422,15.17078599,15
76.91111111,0.06055158,3.243415839,A with temperature: 15,discharge,2,2,0,0.055505615,15.16867482,15
76.92777778,0.06055158,3.243094747,A with temperature: 15,discharge,2,2,0,0.056514808,15.16673372,15
