Test Time / h,Current / A,Voltage / V,Protocol Name / 1,Step Type / 1,Cycle Count / 1,Step Index / 1,Charge Capacity / Ah,Discharge Capacity / Ah,Maximum Cell Temperature / degC,External Temperature / degC
92.97777778,0,3.485372137,A with temperature: 45,rest,5,1,0,0,45.0330054,45
92.99444444,0,3.485297246,A with temperature: 45,rest,5,1,0,0,45.0246179,45
93.01111111,0,3.485246508,A with temperature: 45,rest,5,1,0,0,45.01836171,45
93.02777778,0,3.485211552,A with temperature: 45,rest,5,1,0,0,45.01369533,45
93.04444444,0,3.485187056,A with temperature: 45,rest,5,1,0,0,45.01021479,45
93.06111111,0,3.485169592,A with temperature: 45,rest,5,1,0,0,45.00761874,45
93.07777778,0,3.485156928,A with temperature: 45,rest,5,1,0,0,45.00568243,45
93.09444444,0,3.485147594,A with temperature: 45,rest,5,1,0,0,45.0042382,45
93.11111111,0.06055158,3.373689389,A with temperature: 45,discharge,5,2,0,0,45.07451256,45
93.12777778,0.06055158,3.354442937,A with temperature: 45,discharge,5,2,0,0.001009193,45.10339505,45
93.14444444,0.06055158,3.340459957,A with temperature: 45,discharge,5,2,0,0.002018386,45.11229021,45
93.16111111,0.06055158,3.333572009,A with temperature: 45,discharge,5,2,0,0.003027579,45.10899758,45
93.17777778,0.06055158,3.32649084,A with temperature: 45,discharge,5,2,0,0.004036772,45.1013034,45
93.19444444,0.06055158,3.319742268,A with temperature: 45,discharge,5,2,0,0.005045965,45.09614277,45
93.21111111,0.06055158,3.313775048,A with temperature: 45,discharge,5,2,0,0.006055158,45.09681163,45
93.22777778,0.06055158,3.308379913,A with temperature: 45,discharge,5,2,0,0.007064351,45.10221396,45
93.24444444,0.06055158,3.303188651,A with temperature: 45,discharge,5,2,0,0.008073544,45.11090903,45
93.26111111,0.06055158,3.298159613,A with temperature: 45,discharge,5,2,0,0.009082737,45.12184791,45
93.27777778,0.06055158,3.293263024,A with temperature: 45,discharge,5,2,0,0.01009193,45.13428897,45
93.29444444,0.06055158,3.288476278,A with temperature: 45,discharge,5,2,0,0.011101123,45.14770954,45
93.31111111,0.06055158,3.28364589,A with temperature: 45,discharge,5,2,0,0.012110316,45.16174422,45
93.32777778,0.06055158,3.27885114,A with temperature: 45,discharge,5,2,0,0.013119509,45.17564063,45
93.34444444,0.06055158,3.277422944,A with temperature: 45,discharge,5,2,0,0.014128702,45.18584102,45
93.36111111,0.06055158,3.276005805,A with temperature: 45,discharge,5,2,0,0.015137895,45.19323978,45
93.37777778,0.06055158,3.274596912,A with temperature: 45,discharge,5,2,0,0.016147088,45.19852622,45
93.39444444,0.06055158,3.273194126,A with temperature: 45,discharge,5,2,0,0.017156281,45.20223565,45
