Test Time / h,Current / A,Voltage / V,Protocol Name / 1,Step Type / 1,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Maximum Cell Temperature / degC,External Temperature / degC
72.91111111,0,2.469747053,A with temperature: 15,rest,2,1,0,0,22.53810315,15
72.92777778,0,2.493574156,A with temperature: 15,rest,2,1,0,0,20.63172712,15
72.94444444,0,2.509672375,A with temperature: 15,rest,2,1,0,0,19.20322758,15
72.96111111,0,2.521315581,A with temperature: 15,rest,2,1,0,0,18.13613882,15
72.97777778,0,2.530110202,A with temperature: 15,rest,2,1,0,0,17.3398257,15
72.99444444,0,2.536945414,A with temperature: 15,rest,2,1,0,0,16.74575902,15
73.01111111,0,2.542362389,A with temperature: 15,rest,2,1,0,0,16.30260974,15
73.02777778,0,2.546715242,A with temperature: 15,rest,2,1,0,0,15.97204275,15
73.04444444,0,2.550248731,A with temperature: 15,rest,2,1,0,0,15.72545346,15
73.06111111,0,2.553139212,A with temperature: 15,rest,2,1,0,0,15.54150367,15
73.07777778,0,2.555517603,A with temperature: 15,rest,2,1,0,0,15.40427678,15
73.09444444,0,2.557484301,A with temperature: 15,rest,2,1,0,0,15.30190112,15
73.11111111,0,2.559117003,A with temperature: 15,rest,2,1,0,0,15.22552153,15
73.12777778,0,2.560476977,A with temperature: 15,rest,2,1,0,0,15.16853306,15
73.14444444,0,2.561613132,A with temperature: 15,rest,2,1,0,0,15.12600913,15
73.14652778,-0.06055158,2.966675044,A with temperature: 15,charge,2,2,0,0,15.12180527,15
73.14861111,-0.06055158,2.985401083,A with temperature: 15,charge,2,2,0.000126149,0,15.11764761,15
73.15069444,-0.06055158,3.002961751,A with temperature: 15,charge,2,2,0.000252298,0,15.11357792,15
73.15277778,-0.06055158,3.019283154,A with temperature: 15,charge,2,2,0.000378447,0,15.1096216,15
73.15486111,-0.06055158,3.029405805,A with temperature: 15,charge,2,2,0.000504597,0,15.1057963,15
73.15694444,-0.06055158,3.0390338,A with temperature: 15,charge,2,2,0.000630746,0,15.10211291,15
73.15902778,-0.06055158,3.048274433,A with temperature: 15,charge,2,2,0.000756895,0,15.098578,15
73.16111111,-0.06055158,3.057175132,A with temperature: 15,charge,2,2,0.000883044,0,15.09519537,15
73.17777778,-0.06055158,3.111346574,A with temperature: 15,charge,2,2,0.001892237,0,15.07653581,15
73.19444444,-0.06055158,3.151547556,A with temperature: 15,charge,2,2,0.00290143,0,15.06515748,15
73.21111111,-0.06055158,3.179994777,A with temperature: 15,charge,2,2,0.003910623,0,15.05969602,15
73.22777778,-0.06055158,3.202759842,A with temperature: 15,charge,2,2,0.004919816,0,15.05850258,15
73.24444444,-0.06055158,3.212531702,A with temperature: 15,charge,2,2,0.005929009,0,15.05976131,15
73.26111111,-0.06055158,3.222104909,A with temperature: 15,charge,2,2,0.006938202,0,15.06298602,15
73.27777778,-0.06055158,3.231523241,A with temperature: 15,charge,2,2,0.007947395,0,15.06776676,15
73.29444444,-0.06055158,3.240820393,A with temperature: 15,charge,2,2,0.008956588,0,15.07377744,15
73.31111111,-0.06055158,3.250022838,A with temperature: 15,charge,2,2,0.009965781,0,15.080762,15
73.32777778,-0.06055158,3.259141408,A with temperature: 15,charge,2,2,0.010974974,0,15.08861079,15
