SOC,dUdT
0.0,0.009054111667966222
0.001,0.008090449622659573
0.002,0.00720112369273513
0.003,0.006490727436024649
0.004,0.005782518645140188
0.005,0.005075848732423003
0.006,0.004369178819705877
0.007,0.003772590207739685
0.008,0.003698348076365942
0.009000000000000001,0.003624105944992303
0.01,0.0035498638136185604
0.011,0.003449690617070138
0.012,0.003341377474434027
0.013000000000000001,0.0032330643317980048
0.014,0.0031247511891619086
0.015,0.003016438046525886
0.016,0.002908124903889746
0.017,0.002799811761253708
0.018000000000000002,0.002715900045839842
0.019,0.0026336804929520358
0.02,0.0025514609400642003
0.021,0.0024692413871763796
0.022,0.0023870218342885437
0.023,0.002304802281400767
0.024,0.0022266950645442388
0.025,0.0021821302265887734
0.026000000000000002,0.002137565388633279
0.027,0.0020930005506778282
0.028,0.002048435712722348
0.029,0.0020038708747668827
0.03,0.001959306036811403
0.031,0.0019142065310762896
0.032,0.0018677542295993854
0.033,0.0018213019281225404
0.034,0.001774849626645651
0.035,0.001728397325168865
0.036000000000000004,0.001681945023691946
0.037,0.0016354927222151157
0.038,0.0015948867348285715
0.039,0.0015612178827549637
0.04,0.0015275490306813414
0.041,0.001493880178607704
0.042,0.0014602113265340519
0.043000000000000003,0.0014265424744604293
0.044,0.0013928736223868218
0.045,0.0013564401962545883
0.046,0.0013183928342061608
0.047,0.001280345472157733
0.048,0.001242298110109276
0.049,0.0012042507480608338
0.05,0.0011662033860123913
0.051000000000000004,0.001128156023963964
0.052000000000000005,0.001078927631760681
0.053,0.001026998681210279
0.054,0.000975069730659892
0.055,0.0009231407801095344
0.056,0.000871211829559177
0.057,0.0008192828790087307
0.058,0.000767353928458388
0.059000000000000004,0.0007020868024327313
0.06,0.000636540785246244
0.061,0.0005709947680598456
0.062,0.0005054487508733879
0.063,0.0004399027336869598
0.064,0.00037435671650050216
0.065,0.0003131429356171137
0.066,0.00027580517122602214
0.067,0.00023846740683500467
0.068,0.00020112964244403157
0.069,0.00016379187805295485
0.07,0.00012645411366193736
0.07100000000000001,8.911634927090502e-05
0.07200000000000001,6.438550236077112e-05
0.073,6.552546939485012e-05
0.074,6.666543642894394e-05
0.075,6.780540346299333e-05
0.076,6.894537049713151e-05
0.077,7.008533753125494e-05
0.078,7.122530456533394e-05
0.079,7.245062147460833e-05
0.08,7.376070870423962e-05
0.081,7.507079593388572e-05
0.082,7.638088316357623e-05
0.083,7.769097039322234e-05
0.084,7.900105762294244e-05
0.085,8.031114485258854e-05
0.08600000000000001,8.171075638275298e-05
0.08700000000000001,8.315332209787231e-05
0.088,8.45958878130064e-05
0.089,8.603845352812573e-05
0.09,8.748101924321544e-05
0.091,8.892358495829037e-05
0.092,9.036615067342447e-05
0.093,9.19130420319596e-05
0.094,9.347836888752716e-05
0.095,9.504369574305033e-05
0.096,9.660902259857348e-05
0.097,9.817434945414105e-05
0.098,9.973967630966421e-05
0.099,0.00010130775328941653
0.1,0.00010298820717030317
0.101,0.00010466866105126383
0.10200000000000001,0.00010634911493219486
0.10300000000000001,0.0001080295688130963
0.10400000000000001,0.00010971002269399775
0.105,0.00011139047657497319
0.106,0.0001131014182701879
0.107,0.00011493589053159204
0.108,0.00011677036279308494
0.109,0.00011860483505450388
0.11,0.0001204393073159672
0.111,0.00012227377957740095
0.112,0.00012410825183883464
0.113,0.0001259813288639757
0.114,0.00012791957440079648
0.115,0.00012985781993755805
0.116,0.00013179606547439362
0.117,0.00013373431101118476
0.11800000000000001,0.00013567255654796113
0.11900000000000001,0.0001376108020847671
0.12,0.00013955386839527707
0.121,0.00014150094202210908
0.122,0.00014344801564895586
0.123,0.00014539508927574347
0.124,0.00014734216290253105
0.125,0.0001492892365293778
